id	filename	md5	size	state
007f9390-1d58-4665-b3be-46b3e7219194	007f9390-1d58-4665-b3be-46b3e7219194/9a856422-27a8-4ab7-b936-9532982fbcc4.rna_seq.augmented_star_gene_counts.tsv	1e63b743a1ca3f301b5d6344e7754fdb	4230623	validated
00fdfb77-4072-4b79-8b7c-8ed8c8fdc01e	00fdfb77-4072-4b79-8b7c-8ed8c8fdc01e/2fff27b4-5e6d-4928-ac2a-cd14cc7d914d.rna_seq.augmented_star_gene_counts.tsv	f567ad9314ce4c73ccb363ed8beff142	4221929	validated
02a884a2-9aac-40ea-a953-4d4b6a367431	02a884a2-9aac-40ea-a953-4d4b6a367431/0b5db044-cc84-4ed9-a5b9-b382927e2b54.rna_seq.augmented_star_gene_counts.tsv	8ddad55b641b21ffb87378c1c9937b2a	4236036	validated
0ea1e237-f917-4159-969b-68277ee71faa	0ea1e237-f917-4159-969b-68277ee71faa/d5bcfbd7-b6fa-4e41-860c-0a858c0e480f.rna_seq.augmented_star_gene_counts.tsv	f77a22e317601773fcf447a3c2534c6b	4240004	validated
15421126-f695-48e3-9c86-2b2d5cb26d33	15421126-f695-48e3-9c86-2b2d5cb26d33/46d6837d-c3c1-4e25-acb9-717a6fe513ff.rna_seq.augmented_star_gene_counts.tsv	ad826e984218ddeb7b49ba72395c6e16	4219635	validated
18197a3b-1fd6-46e9-8a6f-d7f20f32a211	18197a3b-1fd6-46e9-8a6f-d7f20f32a211/1eb99d39-5b01-47df-b83b-6c4fc1328dd5.rna_seq.augmented_star_gene_counts.tsv	26e20cc52def0c58932a2713a7b71b61	4214267	validated
1c06b6f2-b896-4d21-a472-af5d49af13e5	1c06b6f2-b896-4d21-a472-af5d49af13e5/32a463b4-1c84-483c-aac4-32abaffb79ff.rna_seq.augmented_star_gene_counts.tsv	dd596d29b3e4a82797c1319e2372a488	4217019	validated
1c8b826f-508b-4da7-83ce-1c270064ae56	1c8b826f-508b-4da7-83ce-1c270064ae56/bd588720-e890-4210-bf17-bc0ad7cf9471.rna_seq.augmented_star_gene_counts.tsv	21efbc74b36593e71d81af27e51dec7c	4249283	validated
31189dd0-4f10-4576-9699-caa2a36cdc33	31189dd0-4f10-4576-9699-caa2a36cdc33/2033eb4f-f07f-4810-91fc-850f085d1da4.rna_seq.augmented_star_gene_counts.tsv	b6dfbba9146b8b9bb2cdaf254ebfb558	4204010	validated
48b3b618-8d53-49ae-9f51-7f35a21b36a9	48b3b618-8d53-49ae-9f51-7f35a21b36a9/9c11aa57-3406-40a0-828e-590854118d6e.rna_seq.augmented_star_gene_counts.tsv	bc41a424d71c750d542b0a39168c797b	4234613	validated
50e9bd18-4485-4546-a9a8-2e9077b071ca	50e9bd18-4485-4546-a9a8-2e9077b071ca/9065c212-827a-4703-85c3-56fc39689c59.rna_seq.augmented_star_gene_counts.tsv	a4755ba0b86f33c1d4b6c7ec625cd83b	4246860	validated
51fb01d2-6045-4979-ba55-45382e5055b3	51fb01d2-6045-4979-ba55-45382e5055b3/769ad26a-1ab3-487d-8645-97b5638cfe6a.rna_seq.augmented_star_gene_counts.tsv	9db75d9a9bccbe859f49563ba6123a9b	4202538	validated
54bf0764-4092-404c-9ae1-44bec5bbcad1	54bf0764-4092-404c-9ae1-44bec5bbcad1/e192da21-43a2-4a8b-b656-088bbcb4e472.rna_seq.augmented_star_gene_counts.tsv	50bea7a6d4bd1079cda1cfdaa03474e6	4234307	validated
57665766-9632-4bd7-bc1c-54adc5c97b3d	57665766-9632-4bd7-bc1c-54adc5c97b3d/6e9584a5-2bfa-4c58-8b19-03e4184282eb.rna_seq.augmented_star_gene_counts.tsv	f628f4ccb6106c0bd64d96378c65f5ba	4226995	validated
5850e2be-e42b-4d14-9afc-bb1558868f0d	5850e2be-e42b-4d14-9afc-bb1558868f0d/b30e9f3a-ecb5-4fb6-8861-80861f4075b4.rna_seq.augmented_star_gene_counts.tsv	6aeeeb0af36efc206e07f1301b09e092	4213184	validated
5efbef4b-c344-4c97-8f6b-8853e6a34582	5efbef4b-c344-4c97-8f6b-8853e6a34582/d2ed3ebd-b669-45b5-9ffa-ebcf385a8dca.rna_seq.augmented_star_gene_counts.tsv	cf3287de82f3f761f48be98a23ca2b0d	4207866	validated
5fb57ca0-f81e-4979-8137-b36031dce97a	5fb57ca0-f81e-4979-8137-b36031dce97a/25b2ac45-2875-4708-83a4-ec3f9bd03427.rna_seq.augmented_star_gene_counts.tsv	c76c29e219ef61b3130e79a854822ccb	4209089	validated
62f22850-b20f-4d41-a2fd-874a3f7d921e	62f22850-b20f-4d41-a2fd-874a3f7d921e/54cba4ae-6077-4679-bd8b-d12451ecf78d.rna_seq.augmented_star_gene_counts.tsv	be41df889ed5a34b960552feb6945a8f	4229651	validated
65d3ee9e-ec88-4335-bced-bf4d540729a3	65d3ee9e-ec88-4335-bced-bf4d540729a3/c61f1eb8-556d-4121-b3fb-c3e239b370e7.rna_seq.augmented_star_gene_counts.tsv	20fff9a79e75c2a53b767aa96540e927	4203052	validated
67a89025-3e6c-41d2-8b8f-611934c8a06d	67a89025-3e6c-41d2-8b8f-611934c8a06d/001cfe8f-6e1d-439a-ab55-629f8bfb1c25.rna_seq.augmented_star_gene_counts.tsv	35364d521c609d654dc924362adabed6	4215954	validated
6a1c451e-15ea-4815-9243-e821350c1204	6a1c451e-15ea-4815-9243-e821350c1204/69c4d355-ccb9-4e0b-8e29-c15a242a4cb1.rna_seq.augmented_star_gene_counts.tsv	c713e0cd9f940764b6c81a52d8d59eae	4210547	validated
6f118db2-eef0-428c-9f31-b42929931918	6f118db2-eef0-428c-9f31-b42929931918/8d858683-bfc5-4e08-8a99-69dee5db8fbd.rna_seq.augmented_star_gene_counts.tsv	f8887ce920f093d0a297aebfb97a1cba	4210952	validated
6fe5574a-ac35-4540-85ba-b84a01ea2b32	6fe5574a-ac35-4540-85ba-b84a01ea2b32/b242d26d-5e52-4d99-816f-e1cae3a36917.rna_seq.augmented_star_gene_counts.tsv	9cf182906d03be9a926ad1051efbe1c8	4216691	validated
70b65122-39f3-495f-8a25-a838cf4f5022	70b65122-39f3-495f-8a25-a838cf4f5022/cd43d38f-230f-4a29-b193-683d1b97fe71.rna_seq.augmented_star_gene_counts.tsv	b2ce1e185aa56adb77251b48a0e32797	4206318	validated
73bfdfdf-ee76-4068-864c-f4dca77dd97d	73bfdfdf-ee76-4068-864c-f4dca77dd97d/f713691a-df6d-4c44-a9bf-81d45ea69d61.rna_seq.augmented_star_gene_counts.tsv	ab4c5188f8ba2f9ac589b4baacb1241b	4241862	validated
752ed835-69b9-424a-b8bd-fb5bc4658708	752ed835-69b9-424a-b8bd-fb5bc4658708/1e670d11-7516-4e03-8ec9-8a08514efb78.rna_seq.augmented_star_gene_counts.tsv	f6f0188a7cefdc0c8de050ef9d0718c7	4224912	validated
